Gênero,Faixa etária,Estado civil,Escolaridade,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
FEMININO,18 anos                       ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,492,34,0.0691,2,2,2022-07-11 22:32:34
FEMININO,18 anos                       ,SOLTEIRO,LÊ E ESCREVE,8,1,0.125,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,SOLTEIRO,SUPERIOR COMPLETO,7,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,SOLTEIRO,SUPERIOR INCOMPLETO,31,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,VIÚVO,ENSINO FUNDAMENTAL COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,VIÚVO,ENSINO MÉDIO COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,18 anos                       ,VIÚVO,ENSINO MÉDIO INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,CASADO,ENSINO FUNDAMENTAL COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,CASADO,ENSINO MÉDIO COMPLETO,23,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,CASADO,ENSINO MÉDIO INCOMPLETO,10,3,0.3,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,CASADO,LÊ E ESCREVE,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,CASADO,SUPERIOR INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,DIVORCIADO,ENSINO MÉDIO COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO COMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,ANALFABETO,2,0,0,0,1,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,24,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,55,8,0.1455,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,ENSINO MÉDIO COMPLETO,1085,71,0.0654,7,3,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,374,198,0.5294,2,1,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,LÊ E ESCREVE,6,0,0,0,1,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,SUPERIOR COMPLETO,5,0,0,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,SOLTEIRO,SUPERIOR INCOMPLETO,91,2,0.022,0,0,2022-07-11 22:32:34
FEMININO,19 anos                       ,VIÚVO,ENSINO MÉDIO COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,CASADO,ENSINO FUNDAMENTAL COMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,3,0,0,0,1,2022-07-11 22:32:34
FEMININO,20 anos                       ,CASADO,ENSINO MÉDIO COMPLETO,32,6,0.1875,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,CASADO,ENSINO MÉDIO INCOMPLETO,10,2,0.2,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,CASADO,SUPERIOR INCOMPLETO,4,1,0.25,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,DIVORCIADO,ENSINO FUNDAMENTAL INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,DIVORCIADO,ENSINO MÉDIO COMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,DIVORCIADO,ENSINO MÉDIO INCOMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,DIVORCIADO,SUPERIOR INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,SEPARADO JUDICIALMENTE,ENSINO FUNDAMENTAL COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,ANALFABETO,5,2,0.4,0,2,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,29,5,0.1724,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,45,11,0.2444,0,1,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,ENSINO MÉDIO COMPLETO,1100,401,0.3645,3,5,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,414,301,0.7271,0,1,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,LÊ E ESCREVE,5,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,SUPERIOR COMPLETO,7,0,0,0,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,SOLTEIRO,SUPERIOR INCOMPLETO,145,44,0.3034,1,0,2022-07-11 22:32:34
FEMININO,20 anos                       ,VIÚVO,ENSINO MÉDIO COMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,CASADO,ENSINO FUNDAMENTAL COMPLETO,9,8,0.8889,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,9,5,0.5556,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,CASADO,ENSINO MÉDIO COMPLETO,287,229,0.7979,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,CASADO,ENSINO MÉDIO INCOMPLETO,69,49,0.7101,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,CASADO,LÊ E ESCREVE,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,CASADO,SUPERIOR COMPLETO,32,24,0.75,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,CASADO,SUPERIOR INCOMPLETO,32,26,0.8125,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,DIVORCIADO,ENSINO MÉDIO COMPLETO,12,9,0.75,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,DIVORCIADO,ENSINO MÉDIO INCOMPLETO,2,1,0.5,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,DIVORCIADO,SUPERIOR COMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,DIVORCIADO,SUPERIOR INCOMPLETO,2,2,1,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO COMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO INCOMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,ANALFABETO,10,8,0.8,0,3,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,138,104,0.7536,0,1,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,204,134,0.6569,0,1,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,ENSINO MÉDIO COMPLETO,4352,3915,0.8996,0,6,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,2057,1559,0.7579,2,2,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,LÊ E ESCREVE,6,3,0.5,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,SUPERIOR COMPLETO,41,31,0.7561,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,SOLTEIRO,SUPERIOR INCOMPLETO,593,533,0.8988,0,1,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,VIÚVO,ENSINO MÉDIO COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,21 a 24 anos                  ,VIÚVO,ENSINO MÉDIO INCOMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,CASADO,ENSINO FUNDAMENTAL COMPLETO,34,20,0.5882,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,41,22,0.5366,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,CASADO,ENSINO MÉDIO COMPLETO,801,588,0.7341,2,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,CASADO,ENSINO MÉDIO INCOMPLETO,186,106,0.5699,0,2,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,CASADO,LÊ E ESCREVE,2,2,1,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,CASADO,SUPERIOR COMPLETO,155,121,0.7806,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,CASADO,SUPERIOR INCOMPLETO,117,89,0.7607,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL COMPLETO,2,2,1,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL INCOMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,DIVORCIADO,ENSINO MÉDIO COMPLETO,50,40,0.8,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,DIVORCIADO,ENSINO MÉDIO INCOMPLETO,12,9,0.75,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,DIVORCIADO,SUPERIOR COMPLETO,4,4,1,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,DIVORCIADO,SUPERIOR INCOMPLETO,6,6,1,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SEPARADO JUDICIALMENTE,ENSINO FUNDAMENTAL INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO COMPLETO,4,2,0.5,0,1,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,ANALFABETO,20,9,0.45,0,12,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,216,73,0.338,1,2,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,516,124,0.2403,0,2,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,ENSINO MÉDIO COMPLETO,3744,1503,0.4014,1,4,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,3146,400,0.1271,0,2,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,LÊ E ESCREVE,6,4,0.6667,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,SUPERIOR COMPLETO,259,231,0.8919,0,1,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,SOLTEIRO,SUPERIOR INCOMPLETO,591,296,0.5008,2,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,VIÚVO,ENSINO MÉDIO COMPLETO,3,2,0.6667,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,VIÚVO,ENSINO MÉDIO INCOMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,25 a 29 anos                  ,VIÚVO,SUPERIOR INCOMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,ANALFABETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,ENSINO FUNDAMENTAL COMPLETO,68,26,0.3824,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,103,62,0.6019,0,1,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,ENSINO MÉDIO COMPLETO,1206,781,0.6476,0,2,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,ENSINO MÉDIO INCOMPLETO,208,97,0.4663,1,1,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,LÊ E ESCREVE,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,SUPERIOR COMPLETO,321,252,0.785,0,1,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,CASADO,SUPERIOR INCOMPLETO,140,102,0.7286,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL COMPLETO,2,2,1,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL INCOMPLETO,4,3,0.75,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,DIVORCIADO,ENSINO MÉDIO COMPLETO,95,65,0.6842,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,DIVORCIADO,ENSINO MÉDIO INCOMPLETO,16,9,0.5625,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,DIVORCIADO,SUPERIOR COMPLETO,29,23,0.7931,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,DIVORCIADO,SUPERIOR INCOMPLETO,23,17,0.7391,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO COMPLETO,7,3,0.4286,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO INCOMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SEPARADO JUDICIALMENTE,SUPERIOR INCOMPLETO,2,0,0,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,ANALFABETO,25,8,0.32,0,11,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,214,61,0.285,0,1,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,720,113,0.1569,0,5,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,ENSINO MÉDIO COMPLETO,2493,818,0.3281,2,5,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,2838,182,0.0641,0,3,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,LÊ E ESCREVE,13,6,0.4615,0,1,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,SUPERIOR COMPLETO,300,241,0.8033,1,1,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,SOLTEIRO,SUPERIOR INCOMPLETO,259,99,0.3822,1,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,VIÚVO,ENSINO MÉDIO COMPLETO,6,4,0.6667,0,0,2022-07-11 22:32:34
FEMININO,30 a 34 anos                  ,VIÚVO,SUPERIOR COMPLETO,2,2,1,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,ANALFABETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,ENSINO FUNDAMENTAL COMPLETO,100,49,0.49,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,253,117,0.4625,0,1,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,ENSINO MÉDIO COMPLETO,1548,888,0.5736,0,6,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,ENSINO MÉDIO INCOMPLETO,277,116,0.4188,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,LÊ E ESCREVE,14,4,0.2857,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,SUPERIOR COMPLETO,421,315,0.7482,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,CASADO,SUPERIOR INCOMPLETO,160,84,0.525,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL COMPLETO,17,9,0.5294,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL INCOMPLETO,12,9,0.75,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,DIVORCIADO,ENSINO MÉDIO COMPLETO,143,108,0.7552,1,1,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,DIVORCIADO,ENSINO MÉDIO INCOMPLETO,18,12,0.6667,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,DIVORCIADO,SUPERIOR COMPLETO,51,40,0.7843,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,DIVORCIADO,SUPERIOR INCOMPLETO,31,20,0.6452,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SEPARADO JUDICIALMENTE,ENSINO FUNDAMENTAL COMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SEPARADO JUDICIALMENTE,ENSINO FUNDAMENTAL INCOMPLETO,6,3,0.5,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO COMPLETO,18,13,0.7222,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SEPARADO JUDICIALMENTE,ENSINO MÉDIO INCOMPLETO,3,0,0,0,1,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SEPARADO JUDICIALMENTE,SUPERIOR COMPLETO,1,1,1,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SEPARADO JUDICIALMENTE,SUPERIOR INCOMPLETO,3,1,0.3333,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,ANALFABETO,40,10,0.25,0,6,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL COMPLETO,332,64,0.1928,0,2,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,ENSINO FUNDAMENTAL INCOMPLETO,1106,187,0.1691,0,5,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,ENSINO MÉDIO COMPLETO,2085,734,0.352,0,2,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,ENSINO MÉDIO INCOMPLETO,2438,147,0.0603,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,LÊ E ESCREVE,46,10,0.2174,0,1,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,SUPERIOR COMPLETO,266,202,0.7594,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,SOLTEIRO,SUPERIOR INCOMPLETO,169,69,0.4083,0,2,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,VIÚVO,ANALFABETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,VIÚVO,ENSINO FUNDAMENTAL COMPLETO,1,0,0,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,VIÚVO,ENSINO FUNDAMENTAL INCOMPLETO,3,2,0.6667,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,VIÚVO,ENSINO MÉDIO COMPLETO,16,8,0.5,1,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,VIÚVO,ENSINO MÉDIO INCOMPLETO,6,1,0.1667,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,VIÚVO,SUPERIOR COMPLETO,2,2,1,0,0,2022-07-11 22:32:34
FEMININO,35 a 39 anos                  ,VIÚVO,SUPERIOR INCOMPLETO,2,2,1,0,0,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,ANALFABETO,6,3,0.5,0,1,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,ENSINO FUNDAMENTAL COMPLETO,193,79,0.4093,0,1,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,ENSINO FUNDAMENTAL INCOMPLETO,569,216,0.3796,0,1,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,ENSINO MÉDIO COMPLETO,1526,912,0.5976,0,6,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,ENSINO MÉDIO INCOMPLETO,284,106,0.3732,0,0,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,LÊ E ESCREVE,44,14,0.3182,0,0,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,SUPERIOR COMPLETO,412,309,0.75,0,0,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,CASADO,SUPERIOR INCOMPLETO,115,65,0.5652,0,1,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL COMPLETO,10,6,0.6,0,0,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,DIVORCIADO,ENSINO FUNDAMENTAL INCOMPLETO,36,25,0.6944,0,0,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,DIVORCIADO,ENSINO MÉDIO COMPLETO,220,144,0.6545,0,1,2022-07-11 22:32:34
FEMININO,40 a 44 anos                  ,DIVORCIADO,ENSINO MÉDIO INCOMPLETO,26,19,0.7308,0,0,2022-07-11 22:32:34
